# Dagmar Gromann and Thierry Declerck (2019): "Towards the Detection and Formal Representation of Semantic Shifts in Inflection Morphology". Proceedings of Language, Data, and Knowledge (LDK). 

hook hooks, Cosine: 0.76790696
collard collards, Cosine: 0.70311373
oddment oddments, Cosine: 0.78068465
sweat sweats, Cosine: 0.52023506
settling settlings, Cosine: 0.43012416
deed deeds, Cosine: 0.7455651
knuckle knuckles, Cosine: 0.686581
jodhpur jodhpurs, Cosine: 0.5161543
stay stays, Cosine: 0.6440469
rate rates, Cosine: 0.8155775
clam clams, Cosine: 0.7615146
scruple scruples, Cosine: 0.70906824
beatnik beatniks, Cosine: 0.7477424
sale sales, Cosine: 0.5323237
bleacher bleachers, Cosine: 0.76093346
stop stops, Cosine: 0.68347317
specie species, Cosine: 0.6061227
metalwork metalworks, Cosine: 0.6791386
mate mates, Cosine: 0.80084115
dump dumps, Cosine: 0.7386017
bead beads, Cosine: 0.81552213
chive chives, Cosine: 0.72846
trumpet trumpets, Cosine: 0.7589539
people peoples, Cosine: 0.6075085
working workings, Cosine: 0.27300096
snip snips, Cosine: 0.5523424
private privates, Cosine: 0.431059
checker checkers, Cosine: 0.69690996
therapeutic therapeutics, Cosine: 0.5755536
trunk trunks, Cosine: 0.63568836
taking takings, Cosine: 0.2580883
fume fumes, Cosine: 0.62854934
chain chains, Cosine: 0.8116498
rayon rayons, Cosine: 0.7064984
bend bends, Cosine: 0.72993565
sparerib spareribs, Cosine: 0.6856864
isometric isometrics, Cosine: 0.6128618
dig digs, Cosine: 0.6115296
pyrotechnic pyrotechnics, Cosine: 0.8165859
porcupine porcupines, Cosine: 0.7671591
viewer viewers, Cosine: 0.72679925
coeval coevals, Cosine: 0.55877155
hymeneal hymeneals, Cosine: 0.7025117
turp turps, Cosine: 0.64387465
arm arms, Cosine: 0.63331676
thread threads, Cosine: 0.8420107
mauler maulers, Cosine: 0.7372952
charade charades, Cosine: 0.55238223
desert deserts, Cosine: 0.7801295
mod mods, Cosine: 0.79683244
fundamental fundamentals, Cosine: 0.5777904
yaw yaws, Cosine: 0.5291216
honour honours, Cosine: 0.5957157
rounder rounders, Cosine: 0.6716372
pant pants, Cosine: 0.755954
day days, Cosine: 0.6877591
pain pains, Cosine: 0.6600283
lancer lancers, Cosine: 0.6668207
loin loins, Cosine: 0.5236985
short shorts, Cosine: 0.3983141
crossroad crossroads, Cosine: 0.88132834
mean means, Cosine: 0.5751584
root roots, Cosine: 0.6026419
reserve reserves, Cosine: 0.74986535
dozen dozens, Cosine: 0.7580885
leg legs, Cosine: 0.72513586
vibe vibes, Cosine: 0.7256492
aquatic aquatics, Cosine: 0.7342153
basic basics, Cosine: 0.691341
primate primates, Cosine: 0.8515207
stair stairs, Cosine: 0.7722431
condition conditions, Cosine: 0.6208417
basidiomycete basidiomycetes, Cosine: 0.84061044
relation relations, Cosine: 0.4984208
ceramic ceramics, Cosine: 0.7722805
wad wads, Cosine: 0.8396769
bun buns, Cosine: 0.78324777
belonging belongings, Cosine: 0.3740282
splinter splinters, Cosine: 0.75728935
stock stocks, Cosine: 0.6894468
five fives, Cosine: 0.3763641
pyrite pyrites, Cosine: 0.7845962
oscine oscines, Cosine: 0.8601195
amnio amnios, Cosine: 0.70791787
fixing fixings, Cosine: 0.31625277
part parts, Cosine: 0.53077525
regret regrets, Cosine: 0.7894816
ground grounds, Cosine: 0.48308623
board boards, Cosine: 0.7891876
lodging lodgings, Cosine: 0.77819806
pharmaceutic pharmaceutics, Cosine: 0.7255221
cornu cornus, Cosine: 0.5899894
tear tears, Cosine: 0.61393565
twin twins, Cosine: 0.7197782
hive hives, Cosine: 0.7535036
tropic tropics, Cosine: 0.6468099
feeling feelings, Cosine: 0.5959927
buttock buttocks, Cosine: 0.82681245
rudiment rudiments, Cosine: 0.6875864
quoit quoits, Cosine: 0.7343506
seat seats, Cosine: 0.7952451
blue blues, Cosine: 0.39863878
victual victuals, Cosine: 0.83588386
snuffer snuffers, Cosine: 0.6838769
punk punks, Cosine: 0.75503695
saving savings, Cosine: 0.6136299
buckskin buckskins, Cosine: 0.76681393
bowl bowls, Cosine: 0.75757724
gut guts, Cosine: 0.46226332
mew mews, Cosine: 0.5271756
element elements, Cosine: 0.7664386
operation operations, Cosine: 0.7747488
card cards, Cosine: 0.8391228
year years, Cosine: 0.66035646
tail tails, Cosine: 0.7656939
troglodyte troglodytes, Cosine: 0.62183464
blah blahs, Cosine: 0.4639243
cord cords, Cosine: 0.789282
nylon nylons, Cosine: 0.62931484
vapour vapours, Cosine: 0.69242084
bone bones, Cosine: 0.77528465
common commons, Cosine: 0.2997999
colour colours, Cosine: 0.7981032
dialectic dialectics, Cosine: 0.8281318
assize assizes, Cosine: 0.77667147
acoustic acoustics, Cosine: 0.63768625
taxi taxis, Cosine: 0.8079861
minute minutes, Cosine: 0.81348634
heaven heavens, Cosine: 0.7032046
congratulation congratulations, Cosine: 0.81635684
raft rafts, Cosine: 0.7779805
corp corps, Cosine: 0.5921013
leftover leftovers, Cosine: 0.752776
picking pickings, Cosine: 0.38243273
chip chips, Cosine: 0.8149116
premise premises, Cosine: 0.48357153
service services, Cosine: 0.7012423
wing wings, Cosine: 0.6660687
greave greaves, Cosine: 0.6618377
fatigue fatigues, Cosine: 0.48623413
brief briefs, Cosine: 0.36917338
silverside silversides, Cosine: 0.68236965
eyeglass eyeglasses, Cosine: 0.6920342
mass masses, Cosine: 0.6285553
term termes, Cosine: 0.2063706
domino dominoes, Cosine: 0.68960345
breech breeches, Cosine: 0.51836276
rich riches, Cosine: 0.5131467
glass glasses, Cosine: 0.5913622
starch starches, Cosine: 0.7876724
sunglass sunglasses, Cosine: 0.8003555
loss losses, Cosine: 0.6911452
sixty sixties, Cosine: 0.36559612
humanity humanities, Cosine: 0.36768043
seventy seventies, Cosine: 0.38795495
twenty twenties, Cosine: 0.4072376
jimmy jimmies, Cosine: 0.29872763
thirty thirties, Cosine: 0.4112401
forty forties, Cosine: 0.44299865
eighty eighties, Cosine: 0.38450688
hippy hippies, Cosine: 0.8082311
creepy-crawly creepy-crawlies, Cosine: 0.77861464
aby abies, Cosine: 0.16924165
fry fries, Cosine: 0.597294
liability liabilities, Cosine: 0.7004908
ninety nineties, Cosine: 0.33064798
funny funnies, Cosine: 0.5140095
folly follies, Cosine: 0.6673903
fifty fifties, Cosine: 0.4689273
ally allies, Cosine: 0.7710774
hostility hostilities, Cosine: 0.52838933
fly flies, Cosine: 0.76677173
authority authorities, Cosine: 0.53875333
contemporary contemporaries, Cosine: 0.4392337
amenity amenities, Cosine: 0.63312835
fungus fungi, Cosine: 0.8056917
